time,FLOW,TEMP,SALT,OXY_oxy,CAR_dic,CAR_ch4,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,PHY_cyano,PHY_green,PHY_diatom
2013-08-24,1e-8,11.9588449197861,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-25,1e-8,12.0193689839572,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-26,1e-8,12.0798930481283,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-27,1e-8,12.1404171122995,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-28,1e-8,12.2009411764706,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-29,1e-8,12.2355189542484,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-30,1e-8,12.2700967320261,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-31,1e-8,12.3046745098039,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,1e-8,12.3392522875817,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-02,1e-8,12.3738300653595,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-03,1e-8,12.4084078431373,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-04,1e-8,12.442985620915,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-05,1e-8,12.4775633986928,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-06,1e-8,12.5121411764706,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-07,1e-8,12.5467189542484,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-08,1e-8,12.5812967320261,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-09,1e-8,12.6158745098039,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-10,1e-8,12.6504522875817,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-11,1e-8,12.6850300653595,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-12,1e-8,12.7196078431373,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-13,1e-8,12.754185620915,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-14,1e-8,12.7887633986928,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-15,1e-8,12.8233411764706,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-16,1e-8,12.8579189542484,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-17,1e-8,12.8924967320261,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
